key,default,es-ES
Choice.!.name,!,
Choice.#.name,#,
Choice.$.name,$,
Choice.%.name,%,
"Choice.,.name",",",
Choice.-.name,-,
Choice...name,.,
Choice.00s.name,00s,
Choice.1.name,1,
Choice.10.name,10,
Choice.10s.name,10s,
Choice.1870s.name,1870s,
Choice.1880s.name,1880s,
Choice.1890s.name,1890s,
Choice.1900s.name,1900s,
Choice.1910s.name,1910s,
Choice.1920s.name,1920s,
Choice.2.name,2,
Choice.20s.name,20s,
Choice.3.name,3,
Choice.30s.name,30s,
Choice.4.name,4,
Choice.40s.name,40s,
Choice.5.name,5,
Choice.50s.name,50s,
Choice.6.name,6,
Choice.60s.name,60s,
Choice.7.name,7,
Choice.70s.name,70s,
Choice.8.name,8,
Choice.80s.name,80s,
Choice.9.name,9,
Choice.90s.name,90s,
Choice.:.name,:,
Choice.;.name,;,
Choice.<.name,<,
Choice.>.name,>,
Choice.?.name,?,
Choice.@.name,@,
Choice.^.name,^,
Choice._.name,_,
Choice.ace.name,ACE,
Choice.acousticness.name,acousticness,Acusticidad
Choice.add.name,Add,Anadir
Choice.add_end.name,Add_end,Anadir al final
Choice.album-crown.name,Album-Crown,Crown de albumes
Choice.album-h-index.name,Album-H-Index,Indice-H de albumes
Choice.album-percentage.name,Album-Percentage,Porcentaje de albumes
Choice.album-plays.name,Album-Plays,Reproducciones de album
Choice.album-rank.name,Album-Rank,Rango de album
Choice.album-rym.name,Album-Rym,Album RYM
Choice.albums-equal.name,Albums-Equal,Albumes igual
Choice.albums-over.name,Albums-Over,Albumes por encima
Choice.albums-under.name,Albums-Under,Albumes por debajo
Choice.albums.name,Albums,Albumes
Choice.All>>>all.name,All,Todos
Choice.ALL>>>all.name,ALL,Todos
Choice.artist-pic.name,Artist-Pic,Imagen de artista
Choice.artist-plays.name,Artist-Plays,Reproducciones de artista
Choice.artist-rank.name,Artist-Rank,Rango de artista
Choice.artists-equal.name,Artists-Equal,Artistas igual
Choice.artists-over.name,Artists-Over,Artistas por encima
Choice.artists-under.name,Artists-Under,Artistas por debajo
Choice.artists.name,Artists,Artistas
Choice.averages.name,Averages,Medias
Choice.beta.name,Beta,Beta
Choice.bi.name,BI,Bi
Choice.bot-album-rym.name,Bot-Album-Rym,
Choice.bot-listeners.name,Bot-Listeners,
Choice.bot-scrobbles.name,Bot-Scrobbles,
Choice.breadth-rating.name,Breadth-Rating,
Choice.breakdowns-albums.name,Breakdowns-Albums,
Choice.breakdowns-songs.name,Breakdowns-Songs,
Choice.breakdowns.name,Breakdowns,
Choice.choerry.name,CHOERRY,
Choice.chuu.name,CHUU,
Choice.collage.name,COLLAGE,
Choice.colours.name,Colours,
Choice.count.name,COUNT,
Choice.country.name,Country,
Choice.crown.name,Crown,
Choice.curated.name,curated,
Choice.current-combo.name,Current-Combo,
Choice.danceability.name,danceability,
Choice.day.name,Day,
Choice.default>>>default.name,default,
Choice.Default>>>default.name,Default,
Choice.discord-name.name,discord-name,
Choice.empty.name,Empty,
Choice.energy.name,energy,
Choice.extended-tags.name,Extended-Tags,
Choice.gender.name,Gender,
Choice.genre.name,genre,
Choice.global-album-crown.name,Global-Album-Crown,
Choice.global-album-rank.name,Global-Album-Rank,
Choice.global-crown.name,Global-Crown,
Choice.global-rank.name,Global-Rank,
Choice.global-track-crown.name,Global-Track-Crown,
Choice.global-track-rank.name,Global-Track-Rank,
Choice.gowon.name,GOWON,
Choice.group.name,GROUP,
Choice.grouped.name,GROUPED,
Choice.h-index.name,H-Index,
Choice.happiness.name,happiness,
Choice.haseul.name,HASEUL,
Choice.heejin.name,HEEJIN,
Choice.highest-bot-streak.name,Highest-Bot-Streak,
Choice.highest-server-streak.name,Highest-Server-Streak,
Choice.highest-streak.name,Highest-Streak,
Choice.hour.name,Hour,
Choice.hyunjin.name,HYUNJIN,
Choice.image-aside-info.name,Image-aside-info,
Choice.image-aside.name,Image-aside,
Choice.image-info.name,Image-info,
Choice.image.name,Image,
Choice.instrumentalness.name,instrumentalness,
Choice.jinsoul.name,JINSOUL,
Choice.joined.name,Joined,
Choice.kim_lip.name,KIM LIP,
Choice.last-name.name,last-name,
Choice.lesbian.name,LESBIAN,
Choice.lfm-listeners.name,Lfm-Listeners,
Choice.lfm-scrobbles.name,Lfm-Scrobbles,
Choice.lgtbq.name,LGTBQ,
Choice.list.name,List,
Choice.liveness.name,liveness,
Choice.loudness.name,loudness,
Choice.loved.name,Loved,
Choice.main.name,MAIN,
Choice.me.name,ME,
Choice.member.name,MEMBER,
Choice.minute.name,Minute,
Choice.misc.name,MISC,
Choice.month.name,Month,
Choice.nb.name,NB,
Choice.none.name,none,
Choice.normal>>>normal.name,normal,
Choice.Normal>>>normal.name,Normal,
Choice.oec.name,OEC,
